"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7","Model 8","Model 9","Model 10","Model 11","Model 12","Model 13","Model 14","Model 15","Model 16","Model 17","Model 18","Model 19","Model 20","Model 21","Model 22","Model 23","Model 24","Model 25","Model 26","Model 27","Model 28","Model 29","Model 30","Model 31","Model 32","Model 33","Model 34","Model 35","Model 36","Model 37","Model 38","Model 39","Model 40","mean","SD"
"SoilClassification.permutation.importance",24.664,21.2733,23.6813,29.924,31.1515,30.4376,23.263,30.4155,25.6015,23.1612,25.6897,21.3052,21.0309,25.671,22.7067,27.6387,33.1148,20.4947,29.3613,31.4539,23.9298,30.7017,25.1057,24.8016,25.7914,28.3151,31.1562,29.4202,35.4531,31.1712,32.9504,23.683,26.7899,20.8671,22.0201,28.5436,27.5569,20.8057,31.8834,28.484,26.7867475,4.03123181242052
"Vegetation.permutation.importance",30.3324,32.8579,25.0765,29.2693,20.5594,20.0126,31.2185,26.0416,30.675,23.1676,24.2442,31.1846,28.1153,30.1467,30.9031,32.0812,20.7505,28.0554,21.9702,20.3975,25.8817,22.583,32.738,27.2359,34.8021,25.3184,24.3143,25.4879,26.094,25.5861,20.1645,31.622,28.7597,23.7373,28.0435,24.7309,22.9598,34.7856,22.0707,22.339,26.6578475,4.18259115591934
"WaterBallanceRatio.permutation.importance",35.9804,37.1816,41.6496,33.1896,37.567,41.0957,36.6989,33.9172,32.3139,41.2548,37.8784,37.6988,35.0078,31.4073,36.7708,30.1619,31.1744,40.3167,38.7703,39.1797,34.3212,37.6593,33.7096,39.0798,28.5347,34.3352,33.4249,34.0101,29.7286,33.1897,34.5401,36.5916,34.0447,43.2775,39.8722,37.9742,36.9102,31.468,36.9785,35.9469,35.870295,3.57049879587822
"Entropy",7.5607,7.5566,7.5306,7.5505,7.5255,7.5704,7.5724,7.5688,7.5786,7.5282,7.5541,7.5049,7.581,7.5429,7.5755,7.5966,7.5998,7.5622,7.5709,7.6061,7.5356,7.6032,7.542,7.5447,7.5735,7.5424,7.5728,7.5361,7.5483,7.5486,7.5433,7.5994,7.5361,7.5349,7.5473,7.5649,7.587,7.5183,7.5382,7.5473,7.557505,0.0246177220997254
"Prevalence..average.probability.of.presence.over.background.sites.",0.2254,0.2239,0.2175,0.2215,0.2167,0.2264,0.228,0.2264,0.2286,0.2176,0.2241,0.212,0.2288,0.2204,0.2273,0.2321,0.2324,0.2243,0.2261,0.2349,0.2188,0.234,0.2213,0.221,0.2282,0.2204,0.2282,0.2177,0.2221,0.2209,0.2202,0.2326,0.2174,0.2187,0.222,0.2252,0.2308,0.2172,0.2203,0.2213,0.2238175,0.00552931581059839
"Fixed.cumulative.value.1.cumulative.threshold",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"Fixed.cumulative.value.1.Cloglog.threshold",0.0383,0.0393,0.0414,0.0379,0.0394,0.0401,0.041,0.0393,0.0413,0.0409,0.0413,0.0379,0.0419,0.0382,0.0449,0.0463,0.0404,0.0419,0.0394,0.0415,0.041,0.0413,0.0449,0.0389,0.0461,0.0414,0.0454,0.0398,0.0418,0.0357,0.0391,0.0448,0.037,0.0391,0.0424,0.0392,0.0435,0.0415,0.0361,0.0397,0.0407825,0.0025414472300224
"Fixed.cumulative.value.1.area",0.7458,0.7324,0.7146,0.7372,0.7234,0.736,0.7338,0.7514,0.733,0.716,0.733,0.72,0.7434,0.7352,0.7314,0.7458,0.777,0.7348,0.7774,0.781,0.721,0.7916,0.7382,0.7332,0.739,0.7174,0.7228,0.7312,0.7234,0.7538,0.7268,0.7472,0.7436,0.7174,0.7094,0.7252,0.7476,0.7456,0.7446,0.734,0.73789,0.0197381583880494
"Fixed.cumulative.value.1.training.omission",0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0112,0.0168,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.0223,0.021885,0.0022304682256753
"Fixed.cumulative.value.5.cumulative.threshold",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
"Fixed.cumulative.value.5.Cloglog.threshold",0.1115,0.1128,0.1144,0.1091,0.1085,0.1145,0.1159,0.11,0.1151,0.1134,0.1109,0.1048,0.115,0.1091,0.1161,0.1147,0.1095,0.114,0.1047,0.1103,0.1094,0.1057,0.1094,0.1114,0.1117,0.1132,0.1176,0.1072,0.1132,0.1066,0.1131,0.1174,0.1046,0.1134,0.117,0.116,0.1146,0.1067,0.1053,0.109,0.11142,0.00348243705127486
"Fixed.cumulative.value.5.area",0.5444,0.5318,0.523,0.5334,0.5234,0.5348,0.5364,0.546,0.5374,0.5232,0.5366,0.52,0.5428,0.5322,0.5392,0.556,0.56,0.5406,0.556,0.5694,0.5236,0.5748,0.5478,0.5338,0.5472,0.5268,0.534,0.5314,0.5292,0.5402,0.5296,0.554,0.5312,0.5218,0.5192,0.5268,0.5502,0.549,0.5344,0.5326,0.538105,0.0135559479247278
"Fixed.cumulative.value.5.training.omission",0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.0615,0.067,0.0615,0.0559,0.067,0.0559,0.0615,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.0660325,0.00314723195292582
"Fixed.cumulative.value.10.cumulative.threshold",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
"Fixed.cumulative.value.10.Cloglog.threshold",0.1722,0.1767,0.1745,0.1692,0.1712,0.1785,0.1827,0.1704,0.1812,0.1743,0.1752,0.168,0.1784,0.1698,0.1795,0.1755,0.1724,0.173,0.1693,0.1723,0.1731,0.1663,0.1661,0.1745,0.1728,0.1758,0.1842,0.1712,0.1738,0.171,0.1762,0.1768,0.1681,0.1739,0.1777,0.1819,0.1777,0.1618,0.168,0.173,0.173705,0.00449038436262843
"Fixed.cumulative.value.10.area",0.4168,0.4072,0.4016,0.4046,0.3978,0.4112,0.4138,0.4154,0.4132,0.4016,0.4118,0.3932,0.4182,0.4054,0.4158,0.4266,0.4268,0.416,0.4232,0.4364,0.3988,0.4362,0.4182,0.4084,0.418,0.4042,0.4128,0.4038,0.4044,0.411,0.4072,0.4274,0.401,0.3998,0.3998,0.4056,0.4238,0.4188,0.4048,0.4072,0.411695,0.0104786065582356
"Fixed.cumulative.value.10.training.omission",0.0894,0.095,0.0894,0.0894,0.1006,0.0838,0.095,0.0894,0.095,0.0894,0.0838,0.095,0.0782,0.0894,0.0838,0.0838,0.0838,0.0838,0.0894,0.0838,0.095,0.0782,0.1006,0.095,0.0894,0.095,0.095,0.095,0.0838,0.095,0.0894,0.0838,0.095,0.0894,0.1006,0.0894,0.0782,0.0782,0.095,0.095,0.08968,0.00605167023586697
"Minimum.training.presence.cumulative.threshold",0.0433,0.0617,0.0223,0.0386,0.0455,0.0297,0.0551,0.0587,0.051,0.049,0.0275,0.0427,0.0647,0.0779,0.0902,0.0467,0.0412,0.0585,0.033,0.0913,0.0519,0.3278,0.4074,0.0859,0.0497,0.0568,0.0588,0.0496,0.0777,0.0584,0.0411,0.055,0.0483,0.0352,0.0708,0.0503,0.0589,0.0492,0.0534,0.0416,0.06891,0.082047504042111
